"","geometry.type","geometry.coordinates.1","geometry.coordinates.2","properties.geopin","properties.objectid","properties.shape_area","properties.shape_leng","properties.situs_dir","properties.situs_num","properties.situs_str","properties.situs_type","type"
"81","MultiPolygon",-90.0764617178638,29.9719866672689,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"82","MultiPolygon",-90.0765798983129,29.9720665611337,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"83","MultiPolygon",-90.076620480663,29.9720938290167,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"84","MultiPolygon",-90.076563032336,29.9721575810372,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"85","MultiPolygon",-90.0765629548384,29.9721576672407,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"86","MultiPolygon",-90.0764578587224,29.9722752673454,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"87","MultiPolygon",-90.076419487108,29.9723182040795,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"88","MultiPolygon",-90.0763663084662,29.9723789572857,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"89","MultiPolygon",-90.0762837239652,29.9723231578457,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"90","MultiPolygon",-90.0762104085552,29.972272448437,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"91","MultiPolygon",-90.0762104848448,29.9722723618701,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"92","MultiPolygon",-90.0764063545052,29.9720499005765,"41018384","10","8260.15544078","388.495874948","","2408","GOVERNOR NICHOLLS","ST","Feature"
"93","MultiPolygon",-90.0749603029508,29.9578770388531,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"94","MultiPolygon",-90.0751860546098,29.9576228967122,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"95","MultiPolygon",-90.0753091945891,29.9577065903744,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"96","MultiPolygon",-90.0754287854032,29.9577871238863,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"97","MultiPolygon",-90.0754285987958,29.9577873364699,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"98","MultiPolygon",-90.0752065141472,29.9580415485752,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"99","MultiPolygon",-90.0751564667712,29.9580988355839,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"100","MultiPolygon",-90.0751563605419,29.9580989570639,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"101","MultiPolygon",-90.0749100655187,29.9579328198601,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"102","MultiPolygon",-90.0749603029508,29.9578770388531,"41018706","11","13954.2355699","481.102981721","","1501","CANAL","ST","Feature"
"103","MultiPolygon",-90.0721979963443,29.959399025968,"41018776","12","96931.6577548","1251.05468421","","0","","","Feature"
"104","MultiPolygon",-90.0721863452653,29.9594120424675,"41018776","12","96931.6577548","1251.05468421","","0","","","Feature"
"105","MultiPolygon",-90.0716509556838,29.9600232819633,"41018776","12","96931.6577548","1251.05468421","","0","","","Feature"
"106","MultiPolygon",-90.070796128471,29.9594399696382,"41018776","12","96931.6577548","1251.05468421","","0","","","Feature"
"107","MultiPolygon",-90.0713415375467,29.9588313295398,"41018776","12","96931.6577548","1251.05468421","","0","","","Feature"
"108","MultiPolygon",-90.0721979963443,29.959399025968,"41018776","12","96931.6577548","1251.05468421","","0","","","Feature"
"109","MultiPolygon",-90.073544887883,29.9609259779525,"41018826","13","2937.51178196","265.918321909","","1534","ST LOUIS","ST","Feature"
"110","MultiPolygon",-90.0736146512438,29.960972904819,"41018826","13","2937.51178196","265.918321909","","1534","ST LOUIS","ST","Feature"
"111","MultiPolygon",-90.0734128923332,29.9612022686655,"41018826","13","2937.51178196","265.918321909","","1534","ST LOUIS","ST","Feature"
"112","MultiPolygon",-90.0733431367963,29.9611547169708,"41018826","13","2937.51178196","265.918321909","","1534","ST LOUIS","ST","Feature"
"113","MultiPolygon",-90.073544887883,29.9609259779525,"41018826","13","2937.51178196","265.918321909","","1534","ST LOUIS","ST","Feature"
"114","MultiPolygon",-90.0676529136122,29.9665886975727,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"115","MultiPolygon",-90.0679920675523,29.966396920937,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"116","MultiPolygon",-90.0680976450887,29.9663372989264,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
